State,District,City,State_Encoded
Tamil Nadu,Coimbatore,Dhaliyur,30
Uttaranchal,Tehri Garhwal,Dhaluwala,33
Orissa,Bhadrak,Dhamanagar,25
Chhattisgarh,Durg,Dhamdha,6
Madhya Pradesh,Dhar,Dhamnod,19
Uttar Pradesh,Bijnor,Dhampur,32
Chhattisgarh,Dhamtari,Dhamtari,6
Madhya Pradesh,Sagar,Dhana,19
Uttar Pradesh,Jaunpur,Dhanauha,32
Punjab,Sangrur,Dhanaula,27
Uttar Pradesh,Agra,Dhanauli,32
Uttar Pradesh,Jyotiba Phule Nagar,Dhanaura,32
Jharkhand,Dhanbad,Dhanbad,15
West Bengal,Barddhaman,Dhandadihi,34
Uttaranchal,Hardwar,Dhandera,33
Gujarat,Ahmadabad,Dhandhuka,11
Gujarat,Banas Kantha,Dhanera,11
Madhya Pradesh,Shahdol,Dhanpuri,19
Jharkhand,Giridih,Dhanwar,15
West Bengal,North Twentyfour Parganas,Dhanyakuria,34
Madhya Pradesh,Dhar,Dhar,19
Chhattisgarh,Raigarh,Dharamjaigarh,6
Punjab,Moga,Dharamkot,27
Gujarat,Valsad,Dharampur,11
Madhya Pradesh,Dhar,Dharampuri,19
Maharashtra,Jalgaon,Dharangaon,20
Tamil Nadu,Vellore,Dharapadavedu,30
Assam,Kamrup,Dharapur,3
Tamil Nadu,Erode,Dharapuram,30
Tamil Nadu,Thanjavur,Dharasuram,30
Uttaranchal,Pithoragarh,Dharchula,33
Uttaranchal,Pithoragarh,Dharchula Dehat,33
Rajasthan,Udaipur,Dhariawad,28
Punjab,Gurdaspur,Dhariwal,27
Maharashtra,Nanded,Dharmabad,20
Kerala,Kannur,Dharmadom,17
Tripura,North Tripura,Dharmanagar,31
West Bengal,Hugli,Dharmapur,34
Tamil Nadu,Dharmapuri,Dharmapuri,30
Andhra Pradesh,Anantapur,Dharmavaram,1
Himachal Pradesh,Kangra,Dharmsala,13
Uttar Pradesh,Ghaziabad,Dharoti Khurd,32
Haryana,Rewari,Dharuhera,12
Maharashtra,Bid,Dharur,20
Maharashtra,Raigarh,Dhatau,20
West Bengal,Barddhaman,Dhatrigram,34
Rajasthan,Dhaulpur,Dhaulpur,28
Jharkhand,Dhanbad,Dhaunsar,15
Uttar Pradesh,Bareilly,Dhaura Tanda,32
Uttar Pradesh,Kheri,Dhaurehra,32
Assam,Sonitpur,Dhekiajuli,3
Assam,Dhemaji,Dhemaji,3
Orissa,Dhenkanal,Dhenkanal,25
Punjab,Kapurthala,Dhilwan,27
Assam,Nagaon,Dhing,3
Gujarat,Bhavnagar,Dhola,11
Gujarat,Ahmadabad,Dholka,11
Gujarat,Rajkot,Dhoraji,11
Gujarat,Surendranagar,Dhrangadhra,11
Gujarat,Jamnagar,Dhrol,11
Assam,Dhubri,Dhubri,3
West Bengal,Haora,Dhuilya,34
Maharashtra,Dhule,Dhule,20
West Bengal,Murshidabad,Dhulian,34
West Bengal,Jalpaiguri,Dhupguri,34
Punjab,Sangrur,Dhuri,27
West Bengal,Murshidabad,Dhusaripara,34
West Bengal,South Twentyfour Parganas,Diamond Harbour,34
Uttar Pradesh,Bulandshahr,Dibai,32
Uttar Pradesh,Auraiya,Dibiyapur,32
Assam,Dibrugarh,Dibrugarh,3
Uttaranchal,Pithoragarh,Didihat,33
Rajasthan,Nagaur,Didwana,28
Orissa,Ganjam,Digapahandi,25
Assam,Tinsukia,Digboi,3
Assam,Tinsukia,Digboi Oil Town,3
Maharashtra,Nagpur,Digdoh,20
Madhya Pradesh,Chhindwara,Dighawani,19
Bihar,Saran,Dighwara,4
West Bengal,Barddhaman,Dignala,34
Maharashtra,Yavatmal,Digras,20
Gujarat,Jamnagar,Digvijaygram,11
Madhya Pradesh,Neemuch,Diken,19
Uttar Pradesh,Ghazipur,Dildarnagar Fatehpur Bazar,32
Nagaland,Dimapur,Dimapur,24
Assam,Nagaon,Dimaruguri,3
Punjab,Gurdaspur,Dina Nagar,27
Bihar,Patna,Dinapur Cantt.,4
Bihar,Patna,Dinapur Nizamat,4
Tamil Nadu,Dindigul,Dindigul,30
Madhya Pradesh,Dindori,Dindori,19
Uttaranchal,Udham Singh Nagar,Dineshpur,33
West Bengal,Koch Bihar,Dinhata,34
Assam,Karbi Anglong,Diphu,3
Chhattisgarh,Korba,Dipka,6
Punjab,Sangrur,Dirba,27
Daman & Diu *,Diu,Diu,8
Assam,Nagaon,Doboka,3
Karnataka,Bangalore Rural,Dod Ballapur,16
Jammu & Kashmir,Doda,Doda,14
Uttaranchal,Garhwal,Dogadda,33
Uttar Pradesh,Baghpat,Doghat,32
Gujarat,Dohad,Dohad,11
Uttar Pradesh,Mau,Dohrighat,32
Uttaranchal,Dehradun,Doiwala,33
Assam,Karbi Anglong,Dokmoka,3
Madhya Pradesh,Shahdol,Dola,19
West Bengal,Haora,Domjur,34
Andhra Pradesh,Cuddapah,Dommara Nandyal,1
Maharashtra,Dhule,Dondaicha-Warwade,20
Madhya Pradesh,Chhindwara,Dongar Parasia,19
Chhattisgarh,Rajnandgaon,Dongargaon,6
Chhattisgarh,Rajnandgaon,Dongragarh,6
Karnataka,Bellary,Donimalai Township,16
Assam,Karbi Anglong,Donkamokam,3
Assam,Tinsukia,Doom Dooma,3
Uttar Pradesh,Sultanpur,Dostpur,32
Andhra Pradesh,East Godavari,Dowleswaram,1
West Bengal,Birbhum,Dubrajpur,34
Maharashtra,Solapur,Dudhani,20
Uttar Pradesh,Sonbhadra,Dudhi,32
Jharkhand,Bokaro,Dugda,15
Uttar Pradesh,Chandauli,Dulhipur,32
Assam,Dibrugarh,Duliajan No.1,3
Assam,Dibrugarh,Duliajan Oil Town,3
Madhya Pradesh,Shahdol,Dumar Kachhar,19
Jharkhand,Dhanbad,Dumarkunda,15
West Bengal,North Twentyfour Parganas,Dumdum,34
Jharkhand,Dumka,Dumka,15
Bihar,Sitamarhi,Dumra,4
Bihar,Buxar,Dumraon,4
Haryana,Gurgaon,Dundahera,12
Orissa,Khordha,Dungamal,25
Rajasthan,Churu,Dungargarh,28
Rajasthan,Dungarpur,Dungarpur,28
Gujarat,Valsad,Dungra,11
Chhattisgarh,Durg,Durg,6
Assam,Cachar,Durga Nagar Part-V,3
West Bengal,Barddhaman,Durgapur,34
Maharashtra,Chandrapur,Durgapur,20
West Bengal,Medinipur,Durllabhganj,34
Jammu & Kashmir,Anantnag,Duru-Verinag,14
Tamil Nadu,Tiruvanamalai,Dusi,30
Uttaranchal,Almora,Dwarahat,33
Gujarat,Jamnagar,Dwarka,11
Maharashtra,Nashik,Dyane,20
Tamil Nadu,Salem,Edaganasalai,30
Tamil Nadu,Kanniyakumari,Edaikodu,30
Tamil Nadu,Kancheepuram,Edakalinadu,30
Tamil Nadu,Salem,Edappadi,30
Kerala,Ernakulam,Edathala,17
Andhra Pradesh,Medak,Eddumailaram,1
Jharkhand,Dhanbad,Egarkunr,15
West Bengal,Medinipur,Egra,34
Andhra Pradesh,Chittoor,Ekambara Kuppam,1
Uttar Pradesh,Etawah,Ekdil,32
Maharashtra,Nashik,Eklahare,20
West Bengal,Haora,Eksara,34
Tamil Nadu,Erode,Elathur,30
Kerala,Kannur,Elayavoor,17
Tamil Nadu,Virudhunagar,Elayirampannai,30
Haryana,Sirsa,Ellenabad,12
Kerala,Ernakulam,Eloor,17
Tamil Nadu,Madurai,Elumalai,30
Andhra Pradesh,West Godavari,Eluru,1
West Bengal,Maldah,English Bazar,34
Tamil Nadu,Toothukudi,Eral,30
Maharashtra,Jalgaon,Erandol,20
Kerala,Kannur,Eranholi,17
Tamil Nadu,Kanniyakumari,Eraniel,30
Kerala,Kottayam,Erattupetta,17
Uttar Pradesh,Jhansi,Erich,32
Tamil Nadu,Dindigul,Eriodu,30
Tamil Nadu,Erode,Erode,30
Tamil Nadu,Namakkal,Erumaipatti,30
Tamil Nadu,Tirunelveli,Eruvadi,30
Uttar Pradesh,Etah,Etah,32
Uttar Pradesh,Etawah,Etawah,32
Tamil Nadu,Salem,Ethapur,30
Uttar Pradesh,Agra,Etmadpur,32
Tamil Nadu,Toothukudi,Ettayapuram,30
Tamil Nadu,Coimbatore,Ettimadai,30
Tamil Nadu,Kanniyakumari,Ezhudesam,30
Uttar Pradesh,Faizabad,Faizabad,32
Uttar Pradesh,Budaun,Faizganj,32
Maharashtra,Jalgaon,Faizpur,20
West Bengal,Jalpaiguri,Falakata,34
Uttar Pradesh,Mathura,Farah,32
Haryana,Yamunanagar,Farakhpur,12
Haryana,Faridabad,Faridabad,12
Punjab,Faridkot,Faridkot,27
Uttar Pradesh,Ghaziabad,Faridnagar,32
Uttar Pradesh,Bareilly,Faridpur,32
Uttar Pradesh,Firozabad,Fariha,32
Andhra Pradesh,Mahbubnagar,Farooqnagar,1
West Bengal,Murshidabad,Farrakka Barrage Township,34
Uttar Pradesh,Farrukhabad,Farrukhabad-Cum-Fatehgarh,32
Haryana,Gurgaon,Farrukhnagar,12
Haryana,Fatehabad,Fatehabad,12
Uttar Pradesh,Agra,Fatehabad,32
Uttar Pradesh,Bareilly,Fatehganj Pashchimi,32
Uttar Pradesh,Bareilly,Fatehganj Purvi,32
Uttar Pradesh,Farrukhabad,Fatehgarh,32
Punjab,Gurdaspur,Fatehgarh Churian,27
Rajasthan,Udaipur,Fatehnagar,28
Rajasthan,Sikar,Fatehpur,28
Uttar Pradesh,Fatehpur,Fatehpur,32
Uttar Pradesh,Barabanki,Fatehpur,32
Uttar Pradesh,Unnao,Fatehpur Chaurasi,32
Uttar Pradesh,Agra,Fatehpur Sikri,32
West Bengal,Murshidabad,Fatellapur,34
Bihar,Patna,Fatwah,4
Punjab,Firozpur,Fazilka,27
Kerala,Kozhikode,Feroke,17
Haryana,Gurgaon,Ferozepur Jhirka,12
Orissa,Anugul,Fertilzer Corporation Of Indiatownship,25
Punjab,Firozpur,Fiozpur,27
Uttar Pradesh,Firozabad,Firozabad,32
Punjab,Firozpur,Firozpur Cantt.,27
Bihar,Araria,Forbesganj,4
Gujarat,Dohad,Freelandgunj,11
Chhattisgarh,Bastar,Frezarpur,6
Uttaranchal,Dehradun,Fri And College Area,33
Orissa,Kandhamal,G. Udayagiri,25
Madhya Pradesh,Jabalpur,G.C.F Jabalpur,19
West Bengal,Haora,Gabberia,34
Karnataka,Gadag,Gadag-Betigeri,16
Uttaranchal,Udham Singh Nagar,Gadarpur,33
Madhya Pradesh,Narsimhapur,Gadarwara,19
Maharashtra,Gadchiroli,Gadchiroli,20
Andhra Pradesh,Rangareddi,Gaddi Annaram,1
Gujarat,Bhavnagar,Gadhada,11
Maharashtra,Kolhapur,Gadhinglaj,20
Jharkhand,Purbi Singhbhum,Gadhra,15
Andhra Pradesh,Mahbubnagar,Gadwal,1
Himachal Pradesh,Una,Gagret,13
Madhya Pradesh,Raisen,Gairatganj,19
West Bengal,Jalpaiguri,Gairkata,34
Andhra Pradesh,Vizianagaram,Gajapathinagaram,1
Karnataka,Gadag,Gajendragarh,16
Uttar Pradesh,Jyotiba Phule Nagar,Gajraula,32
Rajasthan,Ganganagar,Gajsinghpur,28
Andhra Pradesh,Vizianagaram,Gajularega,1
Andhra Pradesh,Visakhapatnam,Gajuwaka,1
Tripura,West Tripura,Gakulnagar,31
Rajasthan,Dungarpur,Galiakot,28
Tamil Nadu,Kanniyakumari,Ganapathipuram,30
Haryana,Sonipat,Ganaur,12
Chhattisgarh,Rajnandgaon,Gandai,6
Jammu & Kashmir,Srinagar,Ganderbal,14
Gujarat,Navsari,Gandevi,11
Tamil Nadu,Vellore,Gandhi Nagar(Katpadi Ext.),30
Gujarat,Kachchh,Gandhidham,11
Tripura,West Tripura,Gandhigram,31
Gujarat,Gandhinagar,Gandhinagar,11
Maharashtra,Kolhapur,Gandhinagar,20
Maharashtra,Bhandara,Ganeshpur,20
Uttar Pradesh,Unnao,Gangaghat,32
Tamil Nadu,Cuddalore,Gangaikondan,30
Maharashtra,Parbhani,Gangakhed,20
Rajasthan,Ganganagar,Ganganagar,28
Maharashtra,Aurangabad,Gangapur,20
Rajasthan,Bhilwara,Gangapur,28
Uttar Pradesh,Varanasi,Gangapur,32
Rajasthan,Sawai Madhopur,Gangapur City,28
West Bengal,Dakshin Dinajpur,Gangarampur,34
Tamil Nadu,Salem,Gangavalli,30
Karnataka,Koppal,Gangawati,16
Uttar Pradesh,Saharanpur,Gangoh,32
Uttaranchal,Uttarkashi,Gangotri,33
Sikkim,East,Gangtok,29
Tamil Nadu,Theni,Ganguvarpatti,30
Uttar Pradesh,Etah,Ganj Dundawara,32
Uttar Pradesh,Unnao,Ganj Muradabad,32
Orissa,Ganjam,Ganjam,25
Andaman & Nicobar Islands *,Andamans,Garacharma,0
West Bengal,Hugli,Garalgachha,34
Uttar Pradesh,Jhansi,Garautha,32
Punjab,Hoshiarpur,Gardhiwala,27
Madhya Pradesh,Sagar,Garhakota,19
Uttar Pradesh,Muzaffarnagar,Garhi Pukhta,32
Madhya Pradesh,Chhatarpur,Garhi-Malhara,19
Uttar Pradesh,Ghaziabad,Garhmukteshwar,32
Punjab,Hoshiarpur,Garhshanker,27
Jharkhand,Garhwa,Garhwa,15
Gujarat,Bhavnagar,Gariadhar,11
Madhya Pradesh,Mandsaur,Garoth,19
West Bengal,North Twentyfour Parganas,Garshyamnagar,34
West Bengal,North Twentyfour Parganas,Garulia,34
Uttar Pradesh,Deoria,Gaura Barhaj,32
Chhattisgarh,Bilaspur,Gaurella,6
Uttar Pradesh,Deoria,Gauri Bazar,32
Karnataka,Kolar,Gauribidanur,16
Assam,Dhubri,Gauripur,3
Uttar Pradesh,Kanpur Dehat,Gausganj,32
Uttar Pradesh,Budaun,Gawan,32
Bihar,Gaya,Gaya,4
West Bengal,Nadia,Gayespur,34
Chhattisgarh,Dantewada,Geedam,6
Maharashtra,Bid,Georai,20
Punjab,Patiala,Ghagga,27
Punjab,Patiala,Ghanaur,27
Madhya Pradesh,Seoni,Ghansor,19
Orissa,Anugul,Ghantapada,25
Haryana,Karnal,Gharaunda,12
Chhattisgarh,Raigarh,Gharghoda,6
Delhi *,East,Gharoli,9
Delhi *,East,Gharonda Neemka Bangar Alias Patpar Ganj,9
West Bengal,Medinipur,Ghatal,34
Uttar Pradesh,Kanpur Nagar,Ghatampur,32
Maharashtra,Yavatmal,Ghatanji,20
Andhra Pradesh,Rangareddi,Ghatkeser,1
Gujarat,Ahmadabad,Ghatlodiya,11
Jharkhand,Purbi Singhbhum,Ghatshila,15
Uttar Pradesh,Ghaziabad,Ghaziabad,32
Uttar Pradesh,Ghazipur,Ghazipur,32
Delhi *,North West,Gheora,9
Uttar Pradesh,Mainpuri,Ghiraur,32
Delhi *,South West,Ghitorni,9
Jammu & Kashmir,Jammu,Gho Manhasan,14
Delhi *,North West,Ghoga,9
Gujarat,Bhavnagar,Ghogha,11
Bihar,Madhubani,Ghoghardiha,4
Jharkhand,Purbi Singhbhum,Ghorabandha,15
Uttar Pradesh,Sonbhadra,Ghorawal,32
West Bengal,Murshidabad,Ghorsala,34
Uttar Pradesh,Mau,Ghosi,32
Uttar Pradesh,Sant Ravidas Nagar,Ghosia Bazar,32
Maharashtra,Nashik,Ghoti Budruk,20
Uttar Pradesh,Maharajganj,Ghughuli,32
Maharashtra,Chandrapur,Ghugus,20
Maharashtra,Ahmadnagar,Ghulewadi,20
Himachal Pradesh,Bilaspur,Ghumarwin,13
Madhya Pradesh,Chhatarpur,Ghuwara,19
Punjab,Muktsar,Gidderbaha,27
Jharkhand,Hazaribag,Gidi,15
Tamil Nadu,Viluppuram,Gingee,30
Jharkhand,Giridih,Giridih,15
Goa,North Goa,Goa Velha,10
West Bengal,Murshidabad,Goaljan,34
Assam,Goalpara,Goalpara,3
West Bengal,Medinipur,Goasafat,34
West Bengal,North Twentyfour Parganas,Gobardanga,34
Tamil Nadu,Erode,Gobichettipalayam,30
Punjab,Fatehgarh Sahib,Gobindgarh,27
Jharkhand,Dhanbad,Gobindpur,15
Chhattisgarh,Raipur,Gobranawapara,6
Uttaranchal,Chamoli,Gochar,33
Jharkhand,Godda,Godda,15
Jharkhand,Dhanbad,Godhar,15
Gujarat,Panch Mahals,Godhra,11
Maharashtra,Satara,Godoli,20
Chhattisgarh,Raipur,Gogaon,6
Madhya Pradesh,Ujjain,Gogapur,19
Bihar,Khagaria,Gogri Jamalpur,4
Madhya Pradesh,Bhind,Gohad,19
Haryana,Sonipat,Gohana,12
Uttar Pradesh,Hamirpur,Gohand,32
Assam,Sonitpur,Gohpur,3
Karnataka,Belgaum,Gokak,16
Karnataka,Belgaum,Gokak Falls,16
Delhi *,North East,Gokal Pur,9
Maharashtra,Thane,Gokhivare,20
Uttar Pradesh,Mathura,Gokul,32
Uttar Pradesh,Gorakhpur,Gola Bazar,32
Uttar Pradesh,Kheri,Gola Gokarannath,32
Assam,Golaghat,Golaghat,3
Assam,Dhubri,Golokganj,3
Jharkhand,Dhanbad,Gomoh,15
Uttar Pradesh,Gonda,Gonda,32
Gujarat,Rajkot,Gondal,11
Maharashtra,Gondiya,Gondiya,20
Punjab,Bathinda,Goniana,27
Karnataka,Kodagu,Gonikoppal,16
Andhra Pradesh,Anantapur,Gooty,1
Tamil Nadu,Tirunelveli,Gopalasamudram,30
Bihar,Gopalganj,Gopalganj,4
West Bengal,Nadia,Gopalpur,34
Orissa,Ganjam,Gopalpur,25
Uttar Pradesh,Hardoi,Gopamau,32
Uttar Pradesh,Sant Ravidas Nagar,Gopiganj,32
West Bengal,Barddhaman,Gopinathpur,34
West Bengal,Murshidabad,Gora Bazar,34
Jammu & Kashmir,Jammu,Gorah Salathian,14
Uttar Pradesh,Gorakhpur,Gorakhpur,32
Punjab,Jalandhar,Goraya,27
Rajasthan,Nagaur,Goredi Chancha,28
Maharashtra,Raigarh,Goregaon,20
Madhya Pradesh,Bhind,Gormi,19
Uttar Pradesh,Lucknow,Gosainganj,32
Uttar Pradesh,Faizabad,Gosainganj,32
Assam,Kokrajhar,Gossaigaon,3
Gujarat,Ahmadabad,Gota,11
Rajasthan,Jhunjhunun,Gothra,28
Karnataka,Bangalore,Gottikere,16
Tamil Nadu,Coimbatore,Goundampalayam,30
Uttar Pradesh,Mathura,Govardhan,32
Rajasthan,Alwar,Govindgarh,28
Madhya Pradesh,Rewa,Govindgarh,19
Maharashtra,Mumbai (Suburban) And Mumbai,Greater Mumbai,20
Gujarat,Vadodara,Gsfc Complex Ina,11
Jharkhand,Pashchimi Singhbhum,Gua,15
Karnataka,Tumkur,Gubbi,16
Tamil Nadu,The Nilgiris,Gudalur,30
Tamil Nadu,Coimbatore,Gudalur,30
Tamil Nadu,Theni,Gudalur,30
Orissa,Rayagada,Gudari,25
Karnataka,Kolar,Gudibanda,16
Andhra Pradesh,Visakhapatnam,Gudivada,1
Andhra Pradesh,Krishna,Gudivada,1
Tamil Nadu,Vellore,Gudiyatham,30
Andhra Pradesh,Nellore,Gudur,1
Maharashtra,Ratnagiri,Guhagar,20
Goa,North Goa,Guirim,10
Rajasthan,Bhilwara,Gulabpura,28
Uttar Pradesh,Bulandshahr,Gulaothi,32
Uttar Pradesh,Pilibhit,Gularia Bhindara,32
Uttar Pradesh,Budaun,Gulariya,32
Karnataka,Gulbarga,Gulbarga,16
Karnataka,Bagalkot,Guledgudda,16
Jammu & Kashmir,Baramula,Gulmarg,14
West Bengal,North Twentyfour Parganas,Guma,34
Jharkhand,Bokaro,Gumia,15
Jharkhand,Lohardaga,Gumla,15
Tamil Nadu,Thiruvallur,Gummidipoondi,30
Madhya Pradesh,Guna,Guna,19
Karnataka,Chamarajanagar,Gundlupet,16
Uttar Pradesh,Budaun,Gunnaur,32
Andhra Pradesh,Anantapur,Guntakal,1
Andhra Pradesh,Guntur,Guntur,1
Orissa,Rayagada,Gunupur,25
Punjab,Gurdaspur,Gurdaspur,27
Haryana,Gurgaon,Gurgaon,12
Haryana,Gurgaon,Gurgaon Rural,12
Madhya Pradesh,Rewa,Gurh,19
West Bengal,Koch Bihar,Guriahati,34
Karnataka,Gulbarga,Gurmatkal,16
Uttar Pradesh,Kannauj,Gursahaiganj,32
Uttar Pradesh,Jhansi,Gursarai,32
Punjab,Firozpur,Guru Har Sahai,27
Kerala,Thrissur,Guruvayoor,17
West Bengal,Barddhaman,Guskara,34
Assam,Kamrup,Guwahati,3
Madhya Pradesh,Gwalior,Gwalior,19
Sikkim,West,Gyalshing,29
Uttar Pradesh,Sant Ravidas Nagar,Gyanpur,32
Bihar,Bhagalpur,Habibpur,4
West Bengal,North Twentyfour Parganas,Habra,34
Maharashtra,Nanded,Hadgaon,20
Uttar Pradesh,Azamgarh,Hafizpur,32
Assam,North Cachar Hills,Haflong,3
Uttar Pradesh,Barabanki,Haidergarh,32
Assam,Hailakandi,Hailakandi,3
Haryana,Gurgaon,Haileymandi,12
Jammu & Kashmir,Baramula,Hajan,14
Punjab,Hoshiarpur,Hajipur,27
Bihar,Vaishali,Hajipur,4
Gujarat,Surat,Hajira Ina,11
Uttar Pradesh,Bijnor,Haldaur,32
West Bengal,Medinipur,Haldia,34
West Bengal,Koch Bihar,Haldibari,34
Uttaranchal,Nainital,Haldwani-Cum-Kathgodam,33
West Bengal,North Twentyfour Parganas,Halisahar,34
Karnataka,Uttara Kannada,Haliyal,16
Gujarat,Panch Mahals,Halol,11
Jharkhand,Purbi Singhbhum,Haludbani,15
Gujarat,Surendranagar,Halvad,11
Himachal Pradesh,Hamirpur,Hamirpur,13
Uttar Pradesh,Hamirpur,Hamirpur,32
Assam,Karbi Anglong,Hamren,3
Uttar Pradesh,Allahabad,Handia,32
Punjab,Sangrur,Handiaya,27
Jammu & Kashmir,Kupwara,Handwara,14
Karnataka,Haveri,Hangal,16
Haryana,Hisar,Hansi,12
Madhya Pradesh,Rewa,Hanumana,19
Rajasthan,Hanumangarh,Hanumangarh,28
Tamil Nadu,Theni,Hanumanthampatti,30
West Bengal,Haora,Haora,34
Uttar Pradesh,Ghaziabad,Hapur,32
Madhya Pradesh,Harda,Harda,19
Uttar Pradesh,Hardoi,Hardoi,32
Uttar Pradesh,Aligarh,Harduaganj,32
Uttaranchal,Hardwar,Hardwar,33
Uttar Pradesh,Sitapur,Hargaon,32
West Bengal,Murshidabad,Harharia Chak,34
Punjab,Hoshiarpur,Hariana,27
Karnataka,Davanagere,Harihar,16
Uttar Pradesh,Sant Kabir Nagar,Hariharpur,32
Gujarat,Patan,Harij,11
West Bengal,Barddhaman,Haripur,34
West Bengal,Barddhaman,Harishpur,34
Madhya Pradesh,Chhatarpur,Harpalpur,19
Karnataka,Davanagere,Harpanahalli,16
Madhya Pradesh,Chhindwara,Harrai,19
Uttar Pradesh,Basti,Harraiya,32
Madhya Pradesh,East Nimar,Harsud,19
Tamil Nadu,Dharmapuri,Harur,30
Tamil Nadu,Madurai,Harveypatti,30
Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,32
Uttar Pradesh,Hathras,Hasayan,32
Karnataka,Hassan,Hassan,16
Haryana,Faridabad,Hassanpur,12
Uttar Pradesh,Meerut,Hastinapur,32
Delhi *,West,Hastsal,9
Uttar Pradesh,Kushinagar,Hata,32
West Bengal,Haora,Hatgachha,34
Haryana,Faridabad,Hathin,12
Uttar Pradesh,Hathras,Hathras,32
Orissa,Sundargarh,Hatibandha,25
Chhattisgarh,Bastar,Hatkachora,6
Madhya Pradesh,Indore,Hatod,19
Madhya Pradesh,Dewas,Hatpipalya,19
West Bengal,Barddhaman,Hatsimla,34
Madhya Pradesh,Damoh,Hatta,19
Karnataka,Raichur,Hatti,16
Karnataka,Raichur,Hatti Gold Mines,16
Karnataka,Haveri,Haveri,16
Jharkhand,Hazaribag,Hazaribag,15
Karnataka,Bangalore,Hebbagodi,16
Karnataka,Mysore,Hebbalu,16
Karnataka,Mysore,Heggadadevanakote,16
Uttaranchal,Dehradun,Herbertpur,33
Manipur,Thoubal,Heriok,21
Karnataka,Bangalore,Herohalli,16
Jharkhand,Hazaribag,Hesla,15
Tamil Nadu,Theni,Highways,30
West Bengal,Puruliya,Hijuli,34
Bihar,Nalanda,Hilsa,4
Gujarat,Sabar Kantha,Himatnagar,11
Karnataka,Belgaum,Hindalgi,16
Rajasthan,Karauli,Hindaun,28
Madhya Pradesh,Damoh,Hindoria,19
Andhra Pradesh,Anantapur,Hindupur,1
Assam,Hailakandi,Hindustan Paper Corporation Ltd. Township Area Panchgram,3
West Bengal,Barddhaman,Hindusthan Cables Town,34
Maharashtra,Wardha,Hinganghat,20
Maharashtra,Hingoli,Hingoli,20
Orissa,Ganjam,Hinjilicut,25
Orissa,Sambalpur,Hirakud,25
Jammu & Kashmir,Kathua,Hiranagar,14
Madhya Pradesh,Balaghat,Hirapur,19
Karnataka,Haveri,Hirekerur,16
Karnataka,Chitradurga,Hiriyur,16
Haryana,Hisar,Hisar,12
Bihar,Nawada,Hisua,4
Mizoram,Lunglei,Hnahthial,23
Haryana,Faridabad,Hodal,12
Assam,Nagaon,Hojai,3
Karnataka,Chitradurga,Holalkere,16
Karnataka,Hassan,Holenarsipur,16
Karnataka,Bidar,Homnabad,16
Karnataka,Uttara Kannada,Honavar,16
Karnataka,Davanagere,Honnali,16
Karnataka,Bellary,Hoovina Hadagalli,16
Kerala,Kasaragod,Hosabettu,17
Karnataka,Shimoga,Hosanagara,16
Karnataka,Chitradurga,Hosdurga,16
Madhya Pradesh,Hoshangabad,Hoshangabad,19
Punjab,Hoshiarpur,Hoshiarpur,27
Karnataka,Bangalore Rural,Hoskote,16
Karnataka,Bellary,Hospet,16
Tamil Nadu,Dharmapuri,Hosur,30
Assam,Barpeta,Howli,3
Assam,Karbi Anglong,Howraghat,3
Tamil Nadu,The Nilgiris,Hubbathala,30
Karnataka,Dharwad,Hubli-Dharwad,16
West Bengal,Hugli,Hugli-Chinsurah,34
Karnataka,Belgaum,Hukeri,16
Tamil Nadu,The Nilgiris,Huligal,30
Karnataka,Bangalore,Hunasamaranahalli,16
Karnataka,Bagalkot,Hungund,16
Karnataka,Mysore,Hunsur,16
Maharashtra,Kolhapur,Hupari,20
Jharkhand,Palamu,Hussainabad,15
Punjab,Kapurthala,Hussainpur,27
Uttar Pradesh,Unnao,Hyderabad,32
Andhra Pradesh,Hyderabad And Rangareddi,Hyderabad M.Corp,1
Uttar Pradesh,Azamgarh,Ibrahimpur,32
Maharashtra,Kolhapur,Ichalkaranji,20
Andhra Pradesh,Srikakulam,Ichchapuram,1
Gujarat,Surat,Ichchhapor,11
West Bengal,North Twentyfour Parganas,Ichhapur Defence  Estate,34
Madhya Pradesh,Sehore,Ichhawar,19
Gujarat,Sabar Kantha,Idar,11
Tamil Nadu,Coimbatore,Idikarai,30
Kerala,Idukki,Idukki Township,17
Maharashtra,Nashik,Igatpuri,20
Uttar Pradesh,Aligarh,Iglas,32
Uttar Pradesh,Shrawasti,Ikauna,32
Madhya Pradesh,Chhindwara,Iklehra,19
Tamil Nadu,Salem,Ilampillai,30
Tamil Nadu,Tirunelveli,Ilanji,30
Karnataka,Bagalkot,Ilkal,16
Uttar Pradesh,Ambedaker Nagar,Iltifatganj Bazar,32
Tamil Nadu,Toothukudi,Iluppaiyurani,30
Tamil Nadu,Pudukkottai,Iluppur,30
Manipur,Imphal West & Imphal East,Imphal,21
Tamil Nadu,Kapur,Inam Karur,30
Maharashtra,Pune,Indapur,20
Madhya Pradesh,Datia,Indergarh,19
Karnataka,Bijapur,Indi,16
Uttar Pradesh,Gonda,"Indian Telephone Industry, Mankapur (Sp. Village)",32
Madhya Pradesh,Indore,Indore,19
Rajasthan,Bundi,Indragarh,28
Tripura,West Tripura,Indranagar,31
Haryana,Karnal,Indri,12
Tamil Nadu,Kancheepuram,Injambakkam,30
Kerala,Thrissur,Iringaprom,17
Kerala,Thrissur,Irinjalakuda,17
