Crop_Name,Crop_Type,Ideal_Soil,Sowing_Season,Temperature_Min_C,Temperature_Max_C,Harvest_Days,Growth_Stages,Crop_Encoded,Watering_Frequency,Organic_Fertilizers,Pest_Management,Growth_Stages_Detailed,Ideal_Soil_pH
Pointed Gourd,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,76,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
French Beans,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,36,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Green Papaya,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,42,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Jackfruit,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,50,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Amaranth Leaves,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,0,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Mustard Greens,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,64,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Lamb'S Quarters,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,55,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Dill Leaves,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,29,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Spring Onion,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,91,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Elephant Foot Yam,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,33,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Kohlrabi,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,53,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Lablab Beans,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,54,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Chayote,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,18,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Mushroom,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,62,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Corn,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,24,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Turnip,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,99,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Beetroot,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,8,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Mango,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,60,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Banana,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,6,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Orange,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,67,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Guava,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,43,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Papaya,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,68,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Grapes,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,39,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Pineapple,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,74,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Pomegranate,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,77,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Watermelon,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,101,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Muskmelon,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,63,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Coconut,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,22,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Sweet Lime,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,94,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Apple,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,1,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Pear,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,71,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Plum,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,75,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Apricot,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,2,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Peach,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,70,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Cherry,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,19,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Strawberry,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,93,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Lychee,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,58,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Sapota,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,86,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Custard Apple,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,27,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Black Plum,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,12,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Indian Gooseberry,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,45,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Tamarind,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,96,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Dates,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,28,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Fig,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,35,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Indian Jujube,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,47,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Bullock'S Heart,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,14,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Wood Apple,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,103,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Star Fruit,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,92,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Passion Fruit,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,69,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Rambutan,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,83,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Kiwi,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,52,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Dragon Fruit,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,30,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Pomelo,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,78,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Mulberries,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,61,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Water Chestnut,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,100,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Indian Hog Plum,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,46,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Bael Fruit,Fruit,Well-drained,Feb–March,20,35,150,Bud Formation–Fruit Development–Harvest,4,Every 5 days,"Vermicompost, Bone Meal",Spray Neem Oil (bi-weekly),"Bud Formation: 0–30, Fruit Development: 31–120, Harvest: 121–150","Loamy sand (pH 5.5–7.5)"
Wheat,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,102,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Rice,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,84,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
Maize,Cereal/Pulse,Alluvial,June–August,22,32,120,Germination–Tillering–Maturity–Harvest,59,Every 7 days,"Farmyard Manure, Green Manure",Crop Rotation,"Germination: 0–20, Tillering: 21–60, Maturity: 61–100, Harvest: 101–120","Clay loam (pH 6.0–7.5)"
